Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0,0,0,0,0,4547,0.0,115.0,360.0,1.0,1,1
1,1,1,3,1,1,5703,0.0,130.0,360.0,1.0,0,1
2,0,1,0,0,0,4333,2451.0,110.0,360.0,1.0,2,0
3,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1
4,1,1,2,0,0,6700,1750.0,230.0,300.0,1.0,1,1
5,1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,0
6,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,0
7,1,1,1,1,0,5285,1430.0,161.0,360.0,0.0,1,1
8,1,1,0,0,0,14683,2100.0,304.0,360.0,1.0,0,0
9,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0
10,1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,1
11,1,1,0,1,0,3523,3230.0,152.0,360.0,0.0,0,0
12,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1
13,1,1,2,0,0,11757,0.0,187.0,180.0,1.0,2,1
14,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1
15,1,0,0,0,0,6500,0.0,105.0,360.0,0.0,0,0
16,1,1,2,0,0,3159,461.0,108.0,84.0,1.0,2,1
17,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1
18,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0
19,1,1,0,0,0,14880,0.0,96.0,360.0,1.0,1,1
20,1,1,0,0,0,2425,2340.0,143.0,360.0,1.0,1,1
21,1,1,1,0,0,3875,0.0,67.0,360.0,1.0,2,0
22,1,1,0,0,0,2620,2223.0,150.0,360.0,1.0,1,1
23,1,0,0,1,0,6045,0.0,115.0,360.0,0.0,0,0
24,1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,1
25,0,0,0,0,0,8333,0.0,280.0,360.0,1.0,1,1
26,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,0
27,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0
28,1,0,0,1,0,2346,1600.0,132.0,360.0,1.0,1,1
29,1,0,0,1,0,2699,2785.0,96.0,360.0,1.0,1,1
30,1,1,1,0,0,3400,2500.0,173.0,360.0,1.0,1,1
31,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,0
32,1,1,1,0,0,2882,1843.0,123.0,480.0,1.0,1,1
33,1,0,0,0,0,4166,0.0,98.0,360.0,0.0,1,0
34,0,0,0,1,0,2720,0.0,80.0,360.0,0.0,2,0
35,1,1,1,0,0,1782,2232.0,107.0,360.0,1.0,0,1
36,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0
37,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1
38,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0
39,1,1,2,0,1,9323,7873.0,380.0,300.0,1.0,0,1
40,1,1,0,0,0,3993,3274.0,207.0,360.0,1.0,1,1
41,1,1,0,0,0,4758,0.0,158.0,480.0,1.0,1,1
42,0,0,0,0,0,4124,0.0,115.0,360.0,1.0,1,1
43,1,0,0,0,0,6283,4416.0,209.0,360.0,0.0,0,0
44,1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,0,0
45,1,1,3,0,0,5703,0.0,128.0,360.0,1.0,2,1
46,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1
47,1,1,1,0,0,1625,1803.0,96.0,360.0,1.0,2,1
48,0,0,0,0,0,3762,1666.0,135.0,360.0,1.0,0,1
49,1,1,2,0,0,6250,1695.0,210.0,360.0,1.0,1,1
50,1,1,0,0,0,3250,0.0,170.0,360.0,1.0,0,0
51,0,0,0,0,0,7200,0.0,120.0,360.0,1.0,0,1
52,1,1,2,0,0,5819,5000.0,120.0,360.0,1.0,0,1
53,1,1,0,0,0,3707,3166.0,182.0,360.0,1.0,0,1
54,1,0,2,0,0,3588,0.0,110.0,360.0,0.0,0,0
55,1,0,0,0,0,2987,0.0,88.0,360.0,0.0,1,0
56,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1
57,1,1,0,0,0,7578,1010.0,175.0,360.0,1.0,1,1
58,0,0,0,0,0,5000,0.0,103.0,360.0,0.0,1,0
59,1,1,3,0,0,51763,0.0,700.0,300.0,1.0,2,1
60,1,1,1,0,0,3417,1750.0,186.0,360.0,1.0,2,1
61,1,0,0,1,0,2333,1451.0,102.0,480.0,0.0,2,0
62,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0
63,1,1,0,0,0,3539,1376.0,55.0,360.0,1.0,0,0
64,1,1,1,0,1,10000,0.0,155.0,360.0,1.0,0,0
65,0,0,0,0,0,3237,0.0,30.0,360.0,1.0,2,1
66,1,1,1,0,0,6875,0.0,200.0,360.0,1.0,1,1
67,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0
68,1,1,0,0,0,3015,2188.0,153.0,360.0,1.0,0,1
69,1,0,0,0,0,8750,4167.0,308.0,360.0,1.0,0,0
70,1,1,1,0,0,6325,0.0,175.0,360.0,1.0,1,1
71,1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1
72,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,1
